ip,date,time,T (ºC)
168.90.31.193,23/10/2020, 04:58:13,24.27
168.90.31.193,23/10/2020, 04:58:50,24.27
168.90.31.193,23/10/2020, 04:59:26,24.27
168.90.31.193,23/10/2020, 05:00:02,24.27
168.90.31.193,23/10/2020, 05:00:39,24.22
168.90.31.193,23/10/2020, 05:01:15,23.59
168.90.31.193,23/10/2020, 05:01:51,24.22
168.90.31.193,23/10/2020, 05:02:27,24.22
168.90.31.193,23/10/2020, 05:03:03,24.22
168.90.31.193,23/10/2020, 05:03:39,23.59
168.90.31.193,23/10/2020, 05:04:16,24.22
168.90.31.193,23/10/2020, 05:04:52,24.22
168.90.31.193,23/10/2020, 05:05:28,24.22
168.90.31.193,23/10/2020, 05:06:04,24.27
168.90.31.193,23/10/2020, 05:06:41,23.63
168.90.31.193,23/10/2020, 05:07:17,23.68
168.90.31.193,23/10/2020, 05:07:53,23.63
168.90.31.193,23/10/2020, 05:08:29,24.22
168.90.31.193,23/10/2020, 05:09:05,24.22
168.90.31.193,23/10/2020, 05:09:42,24.22
168.90.31.193,23/10/2020, 05:10:18,24.22
168.90.31.193,23/10/2020, 05:10:54,23.63
168.90.31.193,23/10/2020, 05:11:30,23.59
168.90.31.193,23/10/2020, 05:12:06,24.22
168.90.31.193,23/10/2020, 05:12:43,24.22
168.90.31.193,23/10/2020, 05:13:19,24.22
168.90.31.193,23/10/2020, 05:13:55,24.18
168.90.31.193,23/10/2020, 05:14:31,24.22
168.90.31.193,23/10/2020, 05:15:08,24.22
168.90.31.193,23/10/2020, 05:15:44,24.22
168.90.31.193,23/10/2020, 05:16:21,24.22
168.90.31.193,23/10/2020, 05:16:57,23.63
168.90.31.193,23/10/2020, 05:17:33,24.27
168.90.31.193,23/10/2020, 05:18:10,24.18
168.90.31.193,23/10/2020, 05:18:46,24.22
168.90.31.193,23/10/2020, 05:19:22,23.63
168.90.31.193,23/10/2020, 05:19:59,24.22
168.90.31.193,23/10/2020, 05:20:35,24.22
168.90.31.193,23/10/2020, 05:21:12,24.22
168.90.31.193,23/10/2020, 05:21:49,24.22
168.90.31.193,23/10/2020, 05:22:25,24.22
168.90.31.193,23/10/2020, 05:23:01,24.22
168.90.31.193,23/10/2020, 05:23:37,24.18
168.90.31.193,23/10/2020, 05:24:14,24.22
168.90.31.193,23/10/2020, 05:24:50,24.18
168.90.31.193,23/10/2020, 05:25:26,24.22
168.90.31.193,23/10/2020, 05:26:03,24.22
168.90.31.193,23/10/2020, 05:26:39,24.22
168.90.31.193,23/10/2020, 05:27:16,24.22
168.90.31.193,23/10/2020, 05:27:52,24.18
168.90.31.193,23/10/2020, 05:28:28,24.18
168.90.31.193,23/10/2020, 05:29:04,24.18
168.90.31.193,23/10/2020, 05:29:41,24.22
168.90.31.193,23/10/2020, 05:30:17,24.22
168.90.31.193,23/10/2020, 05:30:53,24.18
168.90.31.193,23/10/2020, 05:31:30,23.59
168.90.31.193,23/10/2020, 05:32:06,24.22
168.90.31.193,23/10/2020, 05:32:43,24.22
168.90.31.193,23/10/2020, 05:33:19,24.18
168.90.31.193,23/10/2020, 05:33:55,24.18
168.90.31.193,23/10/2020, 05:34:32,24.18
168.90.31.193,23/10/2020, 05:35:08,24.22
168.90.31.193,23/10/2020, 05:35:44,23.54
168.90.31.193,23/10/2020, 05:36:20,24.22
168.90.31.193,23/10/2020, 05:36:56,24.18
168.90.31.193,23/10/2020, 05:37:33,24.22
168.90.31.193,23/10/2020, 05:38:09,24.22
168.90.31.193,23/10/2020, 05:38:45,23.59
168.90.31.193,23/10/2020, 05:39:22,24.18
168.90.31.193,23/10/2020, 05:39:58,24.18
168.90.31.193,23/10/2020, 05:40:34,24.18
168.90.31.193,23/10/2020, 05:41:10,24.18
168.90.31.193,23/10/2020, 05:41:47,24.18
168.90.31.193,23/10/2020, 05:42:23,23.54
168.90.31.193,23/10/2020, 05:42:59,23.59
168.90.31.193,23/10/2020, 05:43:35,24.18
168.90.31.193,23/10/2020, 05:44:12,24.18
168.90.31.193,23/10/2020, 05:44:48,24.18
168.90.31.193,23/10/2020, 05:45:24,24.18
168.90.31.193,23/10/2020, 05:46:00,24.18
168.90.31.193,23/10/2020, 05:46:37,24.18
168.90.31.193,23/10/2020, 05:47:13,24.18
168.90.31.193,23/10/2020, 05:47:49,24.22
168.90.31.193,23/10/2020, 05:48:26,24.18
168.90.31.193,23/10/2020, 05:49:02,23.54
168.90.31.193,23/10/2020, 05:49:38,24.18
168.90.31.193,23/10/2020, 05:50:14,23.54
168.90.31.193,23/10/2020, 05:50:51,24.18
168.90.31.193,23/10/2020, 05:51:27,24.18
168.90.31.193,23/10/2020, 05:52:03,24.18
168.90.31.193,23/10/2020, 05:52:39,23.54
168.90.31.193,23/10/2020, 05:53:16,24.22
168.90.31.193,23/10/2020, 05:53:52,23.54
168.90.31.193,23/10/2020, 05:54:28,24.18
168.90.31.193,23/10/2020, 05:55:05,23.54
168.90.31.193,23/10/2020, 05:55:41,24.18
168.90.31.193,23/10/2020, 05:56:17,24.13
168.90.31.193,23/10/2020, 05:56:53,24.18
168.90.31.193,23/10/2020, 05:57:30,24.18
168.90.31.193,23/10/2020, 05:58:06,24.13
168.90.31.193,23/10/2020, 05:58:42,24.18
168.90.31.193,23/10/2020, 05:59:19,24.18
